Parroquia,Casos_10_04_2020,Casos_11_04_2020,Casos_12_04_2020,Casos_13_04_2020,Casos_14_04_2020,Casos_15_04_2020,Casos_16_04_2020,Casos_17_04_2020,Casos_18_04_2020,Casos_19_04_2020,Casos_20_04_2020,Casos_21_04_2020,Casos_22_04_2020,Casos_23_04_2020,Casos_29_04_2020,Casos_30_04_2020,Casos_01_05_2020,Casos_02_05_2020,Casos_03_05_2020,Casos_04_05_2020,Casos_06_05_2020,Casos_07_05_2020,Casos_08_05_2020,Casos_09_05_2020,Casos_12_05_2020,Casos_13_05_2020,Casos_15_05_2020,Casos_16_05_2020,Casos_17_05_2020,Casos_18_05_2020,Casos_19_05_2020,Casos_23_05_2020,Casos_24_05_2020,Casos_25_05_2020,Casos_26_05_2020,Casos_27_05_2020,Casos_28_05_2020,Casos_31_05_2020,Casos_01_06_2020,Casos_02_06_2020,Casos_03_06_2020,Casos_05_06_2020,Casos_06_06_2020,Casos_07_06_2020,Casos_08_06_2020,Casos_10_06_2020,Casos_11_06_2020,Casos_12_06_2020,Casos_13_06_2020,Casos_14_06_2020,Casos_15_06_2020,Casos_16_06_2020,Casos_17_06_2020,Casos_18_06_2020,Casos_19_06_2020,Casos_20_06_2020,Casos_21_06_2020,Casos_22_06_2020,Casos_23_06_2020,Casos_24_06_2020,Casos_26_06_2020,Casos_27_06_2020,Casos_28_06_2020,Casos_29_06_2020,Casos_30_06_2020,Casos_01_07_2020,Casos_02_07_2020,Casos_05_07_2020,Casos_07_07_2020,Casos_09_07_2020,Casos_10_07_2020
CAYAMBE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,11,11,11,13,13,13,15,15,19,19,19,19,21,28,28,28,28,28,29,29,29,29,29,29,30,32,32,32,33,35,45,50,62,67,68,69
ALOAG,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,7,7,8,8,7,7,8,8,8,10,10,13,13,13,13,13,13,14,17,18,17,18,20,21,21,21,21,22,23,23,24,25,25,25,25,25,27,27,27,28,31,32,32,32,33,35,37,37,56,56,56
CUTUGLAHUA,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,8,8,8,8,8,9,10,11,11,13,15,15,15,15,22,22,22,23,23,24,24,25,25,27,28,28,28,30,30,32,32,33,34,34,34,34,35,38,38,38,38,38,40,40,47,48,49
MACHACHI,7,11,12,12,12,13,14,14,14,15,15,15,16,16,19,20,20,21,22,21,22,22,23,23,25,25,29,31,33,34,35,47,48,51,54,54,56,58,62,63,68,71,73,75,77,80,82,84,88,88,92,94,94,96,96,99,103,103,104,106,110,111,114,120,121,127,132,151,155,158,161
MANUEL CORNEJO ASTORGA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5
MALCHINGUI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
TABACUNDO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8
PEDRO VICENTE MALDONADO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SAN PEDRO DE TABOADA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6,6,7,7,7,7,7,10,11,11,12,12,12,14,14,14,19,24,25,24,24,24,24,24,30,30,33,33
SAN RAFAEL,1,1,1,1,1,1,1,1,1,1,2,3,3,4,6,6,6,6,6,7,7,8,8,9,9,9,9,9,9,9,10,11,11,12,12,12,12,13,13,14,14,15,16,17,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,22,22,24,25,26,30
SANGOLQUI,19,19,19,19,19,20,22,26,27,28,29,30,32,32,38,38,38,39,39,39,40,40,39,40,47,47,49,51,52,55,55,69,73,78,84,85,86,87,106,108,111,114,118,121,122,137,138,140,146,147,149,160,161,163,170,174,181,181,182,184,189,197,211,221,236,241,257,285,293,310,323
ALANGASI,7,7,7,7,7,7,7,8,9,9,9,9,9,9,11,12,13,15,15,15,13,13,15,15,18,18,23,25,26,25,29,30,30,30,30,30,30,31,32,35,35,37,37,37,37,37,37,37,38,38,38,38,39,39,39,37,39,40,40,40,49,49,48,48,48,57,60,78,87,89,89
AMAGUANA,3,3,4,5,6,6,6,6,6,6,6,6,20,22,23,25,25,25,28,29,31,31,36,36,37,37,37,38,40,41,42,46,46,49,49,49,50,51,52,57,52,53,53,55,58,60,61,55,56,55,56,51,51,51,52,53,53,61,53,59,55,55,56,59,59,77,79,81,81,85,85
ATAHUALPA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,4,7,7,7,7,6,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10
BELISARIO QUEVEDO,21,24,24,25,28,31,32,36,37,40,44,50,51,53,96,99,101,111,115,120,131,134,135,147,160,161,175,179,179,184,194,237,240,244,259,262,265,267,272,266,253,263,263,267,283,293,295,282,286,286,288,316,321,327,330,350,350,354,358,369,367,370,371,376,378,399,416,439,443,478,494
CALACALI,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,4,4,4,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9
CALDERON,29,32,35,35,35,35,36,40,40,40,42,42,46,50,70,71,73,79,89,89,97,98,98,101,112,112,120,121,126,125,129,148,151,156,155,159,163,164,172,174,179,190,196,199,205,209,211,215,223,225,236,233,238,245,253,254,254,254,280,293,291,294,309,313,328,382,399,444,462,488,499
CHAVEZPAMBA,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9
CHECA,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6
CHILIBULO,4,4,4,4,4,4,4,5,5,5,5,6,6,6,10,10,11,12,15,15,20,21,21,22,25,25,28,29,29,35,35,40,40,41,40,46,48,48,46,47,44,45,46,51,56,62,62,64,66,65,65,57,57,58,60,70,73,75,73,77,78,80,82,82,83,97,97,101,102,105,109
CHILLOGALLO,34,34,34,34,35,37,41,46,46,47,47,48,51,53,75,81,85,96,104,104,118,119,125,128,152,152,168,171,172,178,187,221,227,237,244,277,289,293,270,282,282,298,304,314,316,340,345,344,362,369,366,385,391,404,420,425,448,459,464,480,512,522,525,532,546,622,648,725,737,779,795
CHIMBACALLE,20,20,21,21,21,21,24,26,26,28,28,28,28,32,38,40,40,48,47,46,52,55,57,58,74,74,83,84,84,86,92,108,112,116,116,125,125,129,129,136,134,140,145,147,146,156,156,174,177,178,185,185,190,193,200,202,214,215,223,223,242,243,244,246,256,290,303,322,329,341,347
COCHAPAMBA,16,16,16,17,17,17,18,18,18,18,18,18,18,18,23,23,25,27,31,33,34,35,34,35,43,43,46,47,48,48,50,54,54,56,56,56,56,60,60,59,62,62,63,64,67,67,67,62,64,66,64,68,71,73,78,76,82,85,85,87,91,94,93,95,96,105,108,112,118,124,126
CONOCOTO,28,31,31,32,32,32,35,36,36,36,37,38,42,44,57,60,61,64,70,69,70,70,70,74,88,88,92,94,100,103,106,127,128,131,132,133,136,136,145,148,147,150,152,151,159,173,174,175,176,176,179,186,187,187,190,191,204,209,210,212,225,231,235,241,243,266,269,279,287,300,304
COTOCOLLAO,37,37,37,37,37,38,38,39,41,42,42,44,48,51,63,70,94,83,90,93,95,94,96,98,103,103,108,108,109,112,116,137,139,147,144,151,154,159,160,141,167,171,173,176,182,178,178,182,185,185,195,203,213,220,225,215,234,245,246,257,277,282,281,287,290,322,343,367,385,408,416
CUMBAYA,19,19,19,19,19,19,19,19,19,19,19,19,23,24,28,28,30,30,32,30,32,33,33,33,34,34,37,37,37,38,38,43,43,44,45,46,46,46,47,48,50,50,51,53,54,54,54,55,56,56,56,62,64,64,64,57,60,60,66,68,68,68,69,69,71,80,87,95,96,100,101
EL CONDADO,6,7,7,7,7,7,7,7,7,7,7,7,7,9,12,16,17,20,25,23,26,29,30,31,35,35,35,35,35,37,39,41,41,41,42,43,46,48,50,42,52,60,63,65,65,64,64,72,73,73,74,74,76,77,80,79,79,80,83,86,86,86,90,90,90,98,101,109,115,126,134
GUALEA,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,7,7,8,8,8,8
GUAYLLABAMBA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,7,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,6,8,8,9,9,9,10,10,11,12,12,11,11,11,12,12,10,11,12,12,13,12,16,16,16,16,19,19,18,18,19,22
INAQUITO,35,35,35,36,37,37,39,39,39,40,40,40,41,43,44,60,58,48,49,50,56,56,51,51,55,55,55,57,59,59,60,64,67,68,70,70,70,73,75,74,80,80,83,85,83,86,87,86,90,90,89,89,90,90,92,89,96,97,97,99,101,105,107,107,110,115,118,125,126,131,136
